CarID,ModelID,DealerID,Year_of_Manufacturing,Mileage,Price
C12792,M069,D006,2020,17758,122735
C08041,M069,D038,2021,8194,138050
C31062,M017,D008,1990,296581,697
C35027,M027,D005,2012,29382,13145
C14830,M045,D018,2018,38343,106806
C38849,M093,D012,1991,243150,1364
C20063,M040,D009,1989,229296,1156
C28278,M005,D025,1992,197888,1564
C34548,M013,D050,2001,162692,3901
C10905,M022,D030,1992,184775,1076
C19221,M006,D016,2004,96601,10729
C24430,M073,D025,2017,31103,23427
C47350,M082,D010,2012,43776,11276
C18112,M006,D001,1993,145768,3529
C03542,M087,D049,2021,3484,105060
C25563,M072,D015,2002,77953,6726
C06760,M111,D011,2004,100154,21845
C33830,M006,D025,2018,29294,42291
C21276,M054,D026,2007,52237,17335
C38233,M032,D021,2011,26653,13490
C14351,M019,D046,2018,32083,35215
C01227,M068,D015,1995,202740,2067
C09160,M011,D045,2012,71014,19293
C25666,M040,D050,2021,5048,51871
C20545,M005,D049,2006,52066,12208
C04120,M004,D035,2013,51518,13882
C00278,M032,D025,1998,126188,2884
C19037,M058,D045,1999,156962,3239
C20047,M026,D015,2013,29051,35667
C38649,M073,D041,1993,81206,3438
C37313,M033,D049,1989,193655,1857
C00854,M004,D035,1999,157966,2493
C43087,M052,D021,2005,49561,18014
C46494,M034,D012,1990,203630,1050
C19536,M005,D036,2011,60595,16137
C16464,M006,D016,2010,92529,16483
C36747,M068,D043,2017,25912,33552
C29861,M113,D046,2011,21746,47585
C00885,M007,D013,2015,68047,16315
C47843,M047,D020,2013,53808,23228
C21462,M011,D035,2007,139209,8350
C09404,M002,D013,1998,147245,3907
C33416,M003,D028,2002,99774,7225
C40744,M040,D013,2002,186759,4013
C23977,M012,D008,2020,21583,27785
C28140,M040,D025,2009,55103,17484
C46079,M054,D036,1993,226402,1723
C20718,M063,D015,1998,197130,2688
C27648,M014,D041,1995,198052,1841
C29971,M062,D040,2009,56347,48073
C24243,M021,D008,1994,142225,1644
C03036,M009,D037,1997,13000,7254
C06977,M016,D033,1991,298087,696
C31766,M022,D050,2018,21146,20013
C23702,M071,D007,1999,145588,3935
C22078,M059,D007,2018,26790,48384
C19236,M012,D042,2010,41595,12706
C19893,M058,D006,1993,213850,1328
C36415,M108,D036,1992,134961,1709
C43916,M067,D036,1991,273681,1077
C14698,M021,D038,2010,102273,6504
C28276,M015,D030,1993,168240,3808
C49862,M014,D017,2011,66981,14934
C49925,M075,D038,1996,158049,4187
C49960,M071,D021,2018,44642,28823
C10093,M050,D034,1994,93905,3810
C47577,M051,D046,2000,67889,6696
C34859,M013,D044,2004,60729,10231
C12806,M027,D018,2004,92931,5111
C12423,M022,D034,2012,88737,8746
C28729,M001,D021,1991,297707,1076
C41924,M005,D002,1992,238446,1086
C28237,M015,D046,2011,63258,27980
C23311,M073,D027,1992,72718,3409
C27812,M011,D030,2013,60296,22131
C14712,M021,D016,2008,67989,7237
C18795,M015,D005,2019,18687,62336
C06889,M067,D035,2015,65235,30051
C00772,M003,D006,2016,27842,29387
C02768,M009,D038,1988,217783,866
C33763,M041,D032,1994,274052,648
C43247,M044,D050,2011,80321,9374
C32833,M045,D049,1988,207854,3965
C13063,M061,D014,2020,16363,29210
C44157,M023,D041,2008,75353,12656
C34737,M013,D035,2007,98889,9607
C24514,M017,D044,2012,25533,26936
C46126,M034,D012,2002,177030,2947
C38235,M086,D033,2004,70448,14541
C25210,M006,D043,2002,164915,5491
C26935,M026,D003,1997,123987,6439
C21363,M038,D001,2010,59699,38983
C32641,M022,D044,2003,57209,5937
C46346,M018,D025,1999,119643,5406
C22573,M034,D007,1995,80511,3924
C31855,M006,D043,2014,17548,34587
C05224,M016,D019,2016,46814,29416
C13180,M023,D041,2014,55867,21465
C17124,M051,D030,2008,84716,10177
C20090,M041,D026,2014,39185,16377
C05967,M071,D031,2016,35200,26692
C36448,M044,D038,2018,31855,20346
C00647,M008,D030,2012,59725,29179
C03781,M027,D020,2004,159228,3052
C20232,M065,D037,2011,89873,10295
C19264,M042,D027,1990,293298,614
C24762,M049,D001,2012,82056,15207
C17161,M068,D026,2000,115796,5928
C30810,M033,D044,2004,117861,9429
C19736,M060,D012,2003,90450,7940
C47429,M099,D044,2005,82753,12409
C38060,M045,D004,1991,121625,9957
C00430,M027,D016,2009,115991,6014
C09912,M006,D039,1997,100912,6520
C04017,M099,D048,1989,227215,1312
C02976,M071,D019,1994,198931,1794
C22228,M044,D042,2014,56698,13396
C46023,M059,D002,2004,155491,7654
C31428,M069,D043,2012,83474,47816
C38534,M071,D039,2008,78167,11906
C32234,M011,D038,2001,148877,5176
C37011,M023,D032,2014,68601,19758
C18751,M006,D019,2001,145443,6033
C46249,M043,D012,1989,167419,5645
C08410,M054,D015,2012,97350,17817
C10407,M011,D048,2017,23068,36160
C23956,M068,D041,1998,86344,6438
C23042,M009,D002,2003,185740,3125
C19834,M059,D034,2021,14744,63157
C48428,M013,D004,2002,126752,5577
C07269,M065,D013,1989,188523,1081
C44594,M040,D021,2001,71331,9226
C01139,M018,D008,1998,191733,2792
C04986,M044,D048,2002,165572,2666
C02886,M028,D048,2007,66621,6656
C48414,M025,D004,1992,245006,983
C14978,M044,D049,2004,97771,5194
C38404,M017,D043,1988,266481,810
C23792,M097,D012,1999,72764,7350
C10994,M016,D024,2017,41818,32415
C44422,M006,D013,2018,47104,38044
C26582,M072,D050,1987,224973,750
C03121,M058,D002,1998,71138,5793
C39203,M050,D043,1986,196308,979
C37448,M005,D037,1990,178461,1620
C04058,M024,D044,2004,18187,18103
C31986,M010,D005,2003,151700,3703
C49292,M111,D044,2006,121076,21330
C18870,M044,D021,2016,52773,15692
C27740,M020,D018,2004,170725,2854
C07071,M033,D013,1998,126499,5912
C33875,M042,D001,2012,64883,18097
C29559,M040,D048,1998,182756,3181
C17584,M002,D036,2002,111485,6753
C43157,M081,D042,1997,206934,6215
C18584,M027,D026,2007,97223,6052
C13459,M016,D024,2005,170700,5634
C17725,M005,D039,2019,14288,36185
C04570,M019,D046,2015,43165,26998
C31514,M022,D032,1996,124378,2309
C21497,M032,D039,2008,64638,8754
C18176,M020,D009,2001,81417,4674
C06330,M032,D048,2019,28744,22724
C14875,M004,D021,1995,165337,1796
C40463,M070,D042,1996,211783,3091
C47442,M068,D010,2006,164953,5963
C39231,M017,D018,2001,124421,6630
C30147,M040,D042,1993,136760,3341
C49347,M041,D021,2018,29891,22577
C00199,M047,D017,1994,162098,2930
C01449,M026,D002,2010,101693,18128
C17758,M097,D037,2015,50465,24683
C44012,M010,D030,2006,93190,7103
C10269,M028,D024,2015,87374,9846
C32009,M067,D028,2022,5327,68103
C20834,M023,D019,2001,132861,5192
C34627,M015,D043,1995,250243,2100
C08660,M017,D045,1995,60264,7028
C10046,M026,D046,1989,319288,663
C16380,M100,D047,2007,85849,8889
C17245,M020,D026,1998,112896,3046
C31571,M003,D021,1998,229208,1885
C19724,M024,D007,2008,78350,16301
C40337,M062,D029,2006,126763,23834
C12619,M055,D050,2006,74705,8264
C05747,M021,D009,2014,36194,13178
C44071,M069,D043,2007,140644,22279
C43135,M032,D036,1994,252458,742
C23576,M013,D016,2004,147077,5419
C47224,M030,D039,2002,158250,4110
C25327,M016,D037,2019,15164,43123
C44217,M103,D032,1994,177541,3581
C19820,M060,D046,2002,93774,7253
C47714,M025,D004,1994,156653,2443
C45674,M051,D003,2001,118929,4964
C41828,M044,D032,2007,170853,3559
C03841,M027,D021,2017,53409,15875
C34966,M022,D036,1993,186795,1130
C05646,M043,D025,2000,45453,28910
C33932,M013,D023,2020,15235,38943
C25316,M072,D015,1999,105845,4512
C23047,M068,D030,2014,59397,22434
C09673,M009,D013,2000,102738,4995
C45834,M106,D029,2020,23610,81725
C09243,M050,D002,2006,126317,6650
C35275,M071,D031,1993,70508,4613
C32447,M022,D026,2010,66368,8921
C00682,M032,D022,1987,219722,627
C45180,M008,D012,2002,162320,6953
C46940,M069,D023,2010,127500,30199
C41769,M073,D006,2003,114916,5242
C08813,M057,D020,2006,120200,5269
C40265,M013,D044,1999,116573,4939
C25267,M009,D034,1995,210460,1475
C49380,M011,D025,1991,219451,1447
C28592,M080,D022,2013,85546,9407
C12759,M058,D004,1996,140136,3042
C08475,M010,D010,1996,188672,1699
C24803,M012,D021,1995,206405,1324
C13506,M026,D006,2008,82645,18181
C18216,M005,D005,2004,148241,5305
C44985,M065,D030,2002,147518,3635
C06225,M016,D019,2012,95849,16218
C33323,M012,D030,2014,44069,16343
C32157,M056,D040,1985,323134,635
C45144,M016,D034,2016,32361,32070
C10461,M022,D035,2005,98950,5096
C34111,M044,D005,1994,160383,1633
C36901,M015,D047,1996,268566,1893
C36463,M030,D046,2011,53785,16200
C00586,M039,D002,2016,27516,33957
C26502,M084,D040,2014,49177,22792
C39110,M014,D050,2011,52964,16349
C29317,M047,D005,1996,150415,3688
C23209,M010,D034,1998,166500,2346
C43786,M006,D046,2021,13039,56510
C23585,M044,D005,1994,106820,2495
C47911,M062,D019,2002,184036,11386
C40065,M043,D003,2012,74024,53515
C07651,M030,D043,2013,39237,20241
C07585,M015,D028,1985,217129,1458
C40552,M028,D009,1997,235698,871
C36928,M108,D033,2017,54564,16123
C13374,M004,D049,2016,27798,19538
C13485,M010,D026,2004,86993,6497
C24493,M058,D038,1997,216329,1696
C02464,M010,D039,1987,249462,540
C09830,M010,D049,2000,104543,4383
C31685,M023,D001,2012,75167,16545
C37429,M009,D020,1986,217605,759
C20340,M101,D017,2008,72454,16687
C48860,M007,D022,2020,13808,31532
C44241,M065,D007,2006,152501,4557
C47408,M005,D038,1999,127693,4479
C27507,M007,D024,2001,223336,1847
C17553,M068,D042,2013,52429,21939
C23515,M041,D006,1996,104347,3186
C26007,M019,D018,1998,98698,5994
C46860,M005,D002,2004,112203,7042
C29597,M080,D001,2008,135327,4639
C18047,M060,D016,1999,164018,3428
C44419,M084,D043,2002,126418,5944
C31563,M093,D031,2008,66187,17855
C34963,M018,D035,2000,126554,5478
C07056,M003,D011,2015,42787,25181
C07647,M022,D020,2010,91153,7524
C25771,M106,D040,2003,178984,8532
C43936,M072,D038,2018,26409,27002
C27720,M015,D039,1989,115201,4467
C28449,M019,D028,1999,165618,3782
C48431,M017,D027,2002,106295,8134
C24385,M027,D019,2015,62478,13108
C38940,M056,D003,2008,90561,22305
C36466,M034,D019,2006,119889,6126
C10928,M002,D005,2000,155208,4182
C42424,M041,D034,2014,47131,15606
C12895,M046,D036,2014,6933,27200
C41068,M006,D050,2004,9500,18537
C26107,M069,D008,2021,13274,134404
C45575,M012,D017,1988,211156,796
C03291,M020,D015,2000,70212,4719
C34118,M011,D006,1993,128710,3568
C11428,M050,D039,2014,25962,22395
C15055,M019,D024,1990,47950,4952
C19475,M098,D012,1991,121673,1821
C03495,M017,D048,2010,81158,16609
C05265,M100,D033,2014,48621,18135
C12378,M043,D018,1996,170951,8738
C20367,M001,D042,1999,193890,4760
C45678,M040,D018,1999,143674,4715
C40830,M011,D022,1994,114355,4261
C06917,M047,D047,2004,57712,12435
C18028,M043,D020,2017,37891,93983
C37746,M017,D018,2021,16279,51654
C21329,M114,D015,2009,137265,6434
C20280,M011,D025,2008,76141,14274
C41886,M105,D008,2005,134030,13785
C16546,M028,D002,2016,36157,14675
C14068,M061,D022,1995,141846,2341
C20631,M011,D045,1997,185573,2911
C21240,M060,D031,2004,188180,3893
C27153,M022,D031,1997,71421,3626
C26635,M050,D009,1996,107729,3934
C10822,M008,D049,2013,44821,34249
C19016,M046,D017,2005,97998,8439
C14760,M019,D049,2018,42157,33177
C18120,M018,D007,2002,113654,6911
C42882,M070,D011,1997,121246,7056
C36208,M041,D014,1997,244757,1040
C49475,M021,D017,2000,71074,4159
C01825,M058,D040,1997,228312,1522
C46195,M021,D016,2019,19549,20220
C25435,M026,D037,2012,105528,20136
C40079,M034,D025,1999,114353,4008
C08910,M044,D022,1993,168869,1423
C20854,M006,D041,2005,70106,13795
C27451,M060,D022,2009,43114,16191
C31938,M041,D033,2004,157981,3561
C06947,M018,D036,1993,318549,620
C09686,M018,D011,2015,53290,25030
C34335,M007,D026,2010,59315,12377
C46759,M040,D036,1995,174038,2806
C28475,M013,D024,1992,245342,1032
C18669,M074,D008,2019,22807,123576
C37157,M023,D013,1995,189788,2166
C03565,M068,D015,2013,85279,17631
C28541,M034,D012,2015,63601,16680
C18050,M018,D036,1991,192362,1741
C28080,M025,D039,2008,137219,7277
C28533,M034,D017,1998,177950,2239
C21421,M032,D018,2012,48668,12655
C00323,M009,D038,2001,205054,2309
C47971,M006,D007,1998,174341,3884
C19346,M004,D005,2007,59276,8858
C14805,M049,D024,2008,154808,6682
C45992,M043,D047,2014,41865,75138
C45620,M013,D026,1988,239487,834
C49166,M041,D025,1996,147303,2280
C28280,M030,D023,2008,66010,12257
C38832,M093,D008,2002,118966,8205
C29277,M013,D043,1994,179881,2114
C27489,M081,D043,2004,143820,16957
C43006,M015,D015,2009,51480,26403
C10497,M001,D016,1989,227533,1810
C42663,M023,D001,2006,91101,9925
C05529,M100,D043,1992,190490,1423
C35388,M065,D036,2004,151496,4021
C31209,M016,D009,2018,30526,37034
C40988,M111,D024,1999,157967,9954
C21333,M011,D022,1994,247326,1371
C03403,M015,D006,2017,52430,44740
C07781,M048,D047,2005,47279,12706
C27136,M034,D049,2009,80964,9947
C45930,M083,D016,2004,152768,4333
C25716,M058,D010,2002,226090,2168
C22230,M040,D035,1997,137554,4334
C00483,M030,D043,1993,106066,3403
C28662,M100,D028,2009,55834,12419
C14182,M016,D029,2003,108259,8124
C39685,M027,D030,2011,35009,11902
C08791,M020,D040,1999,199278,1598
C38979,M041,D030,2021,23964,28518
C40402,M012,D050,2015,56975,16118
C02875,M053,D040,1998,169937,3765
C45436,M007,D040,1997,190559,1892
C22604,M003,D044,2013,31937,23500
C37028,M001,D032,1996,198201,3753
C44394,M012,D017,2001,108071,4445
C04216,M013,D039,1997,200134,2166
C33068,M045,D006,2005,101642,29435
C13592,M016,D020,1995,254931,1365
C44341,M021,D043,2017,40452,15694
C38870,M028,D034,2012,30872,11592
C46869,M040,D027,1999,227663,2285
C00374,M071,D021,2016,11234,30509
C48582,M060,D006,2015,62767,21345
C39617,M083,D011,1997,244813,1212
C27089,M087,D030,2006,123493,17725
C32025,M102,D015,1998,121141,6770
C21635,M073,D018,1999,80961,5139
C04580,M007,D006,2004,70110,7729
C39393,M107,D009,1987,262532,709
C17783,M012,D048,2003,118156,4706
C40303,M012,D035,2013,61561,13696
C19517,M006,D033,2002,88691,9938
C28310,M019,D015,2016,30940,31023
C12618,M009,D047,2018,47274,24160
C35499,M051,D040,2004,174634,3858
C35885,M007,D015,2004,98298,6347
C31745,M028,D034,2021,17172,22806
C48721,M035,D045,2008,90772,12940
C13912,M022,D002,1987,261207,387
C07095,M032,D022,2014,40793,15172
C15401,M006,D010,2014,26088,32988
C42130,M028,D042,2012,62721,9531
C29298,M113,D004,2018,28842,72911
C33130,M004,D006,2009,84101,8566
C29117,M012,D026,2005,132550,4808
C07688,M037,D026,2017,56833,28138
C45115,M003,D035,2006,125674,7758
C00063,M041,D015,1997,87723,3840
C25110,M022,D017,1989,345729,197
C12025,M071,D049,2008,101087,10118
C37596,M098,D019,1986,209897,623
C07893,M107,D046,2009,92071,12971
C20266,M013,D003,2002,188361,3350
C49707,M021,D006,2002,97863,3940
C47293,M014,D023,2004,99859,7447
C22682,M065,D024,2009,63309,10801
C29910,M050,D038,1995,142719,2804
C02386,M004,D047,1992,239579,764
C25885,M055,D049,2009,74589,10102
C03185,M023,D036,2020,12899,41170
C21753,M016,D016,2007,78454,13137
C08359,M001,D044,1990,250837,1563
C04996,M044,D039,2018,21984,21517
C19991,M109,D008,2013,25271,26098
C37219,M041,D027,2004,59797,7397
C45048,M008,D042,2008,90759,18100
C13735,M032,D002,2022,2464,31978
C06112,M026,D001,2004,140744,8995
C05374,M001,D028,2001,48154,16516
C42275,M020,D030,2013,59548,12042
C12432,M023,D004,1993,243763,1168
C07919,M072,D040,1998,163732,2668
C35812,M017,D006,1993,63372,6027
C37631,M058,D018,1995,113090,3514
C12141,M037,D026,2009,98689,12394
C39635,M100,D002,2006,41131,11136
C09646,M016,D040,2016,38250,30979
C43842,M062,D010,2013,82297,52796
C36449,M083,D031,2004,116981,5757
C25314,M069,D005,2018,27778,101587
C46536,M013,D004,2007,50894,13303
C05305,M011,D016,2007,144895,7976
C38770,M070,D043,2011,73146,25426
C22446,M044,D020,2014,64324,12751
C10325,M041,D009,1996,36316,5017
C37747,M109,D006,2006,117034,8864
C41365,M103,D037,2019,25058,57287
C03181,M072,D011,2009,104086,8904
C29110,M038,D005,2013,52350,49894
C26630,M074,D017,2020,18194,135496
C17021,M023,D019,2002,97000,7286
C04615,M027,D008,1998,163757,1970
C30559,M015,D042,2018,33011,53788
C00429,M016,D013,2003,91908,9156
C45145,M063,D023,1993,148309,2914
C36166,M026,D045,2011,83366,22095
C46192,M073,D049,1991,270441,613
C43339,M072,D033,1987,292142,402
C21862,M030,D007,1986,240730,685
C24212,M013,D037,1989,370885,255
C10366,M028,D009,1994,317754,329
C39273,M011,D018,1987,205332,1257
C33413,M064,D003,2020,15136,38743
C20850,M053,D027,1993,178698,2504
C16843,M013,D038,2010,72807,14092
C09999,M026,D027,2003,89333,12429
C23187,M019,D042,2010,108077,12448
C07498,M026,D027,1996,267382,1732
C05460,M021,D005,2010,64967,8436
C04574,M111,D021,2016,48158,69111
C08172,M028,D009,1993,156810,1330
C33840,M032,D011,2008,94189,7143
C23589,M042,D002,2006,93334,9975
C41913,M058,D003,2017,30691,26464
C07295,M060,D014,2017,19068,31708
C25914,M100,D009,1994,61380,4409
C16358,M044,D034,2010,125874,6270
C36330,M044,D018,1999,141710,2656
C46763,M044,D003,2007,165672,3718
C13264,M003,D044,1998,165955,3283
C33511,M021,D016,1996,162003,1597
C44106,M102,D048,2003,123286,9294
C11193,M063,D028,1997,115592,4925
C27639,M020,D027,1993,197826,1085
C35306,M062,D005,1997,132319,12522
C17715,M028,D048,2006,141766,3579
C32664,M072,D046,1994,301588,586
C13168,M003,D042,2003,88986,8347
C25291,M017,D010,2007,70156,14656
C27402,M044,D009,2013,64238,11936
C12458,M030,D012,2018,48372,26723
C02186,M037,D013,1999,91069,6722
C37088,M022,D025,1987,234339,496
C21359,M072,D035,2012,57935,14963
C40554,M090,D035,2014,59186,20600
C25254,M091,D018,1999,125550,5565
C02495,M028,D045,2000,248279,948
C11033,M073,D044,1998,152807,2782
C13612,M109,D016,2008,97823,11688
C26445,M013,D025,1988,280596,569
C41258,M047,D023,2018,30803,37250
C11763,M011,D025,1994,137252,3565
C05236,M072,D042,1995,193988,1685
C05764,M060,D014,1995,131869,3411
C19733,M055,D037,1999,134105,3342
C39018,M056,D010,2010,105997,22779
C36079,M003,D040,1997,147982,3564
C44768,M006,D024,2017,48548,35274
C28281,M045,D016,2006,132468,24870
C46355,M007,D009,2010,73437,11275
C42759,M013,D049,2016,65417,22084
C48921,M028,D031,2009,124443,5013
C47079,M015,D023,1991,132937,4448
C18152,M098,D043,2002,158999,2810
C41441,M003,D026,2000,99284,6346
C18347,M029,D018,2010,92758,16118
C21523,M021,D024,1991,169893,1071
C39093,M028,D047,2011,69302,8537
C29609,M028,D029,2017,15057,17668
C19137,M020,D025,2000,146177,2680
C09385,M022,D006,2018,43452,17585
C21113,M060,D047,1989,236578,930
C43031,M105,D009,1993,188717,3928
C16159,M016,D029,2017,36082,33543
C24593,M004,D002,2015,43795,16636
C27462,M068,D037,2007,98211,10775
C10167,M027,D005,2003,45996,6537
C34916,M025,D004,2009,49918,14527
C34138,M034,D029,2018,24979,25772
C31231,M031,D050,2012,51608,23670
C44958,M022,D048,2002,96354,4252
C03031,M092,D048,1985,149258,1091
C29207,M040,D043,2018,28940,37307
C31461,M001,D007,2013,81546,29523
C40777,M044,D021,2009,97613,7257
C43706,M066,D018,2002,148844,3300
C28615,M011,D032,2020,16964,45674
C30871,M072,D039,2013,77179,14079
C09069,M044,D041,2008,27812,10691
C22922,M070,D017,1997,152867,5484
C36212,M027,D031,2019,28006,21127
C30421,M060,D019,2018,38017,30419
C03228,M044,D012,2010,110843,7035
C44490,M001,D001,1998,214464,3712
C25420,M027,D037,2016,45467,15602
C32344,M055,D011,2013,57057,14804
C30373,M114,D023,2016,51833,18942
C18380,M050,D045,2009,68773,12328
C35716,M095,D047,2007,115314,13697
C43932,M018,D010,2002,149526,5210
C05708,M005,D014,1999,108653,5182
C49578,M008,D034,2011,63823,26579
C26773,M088,D032,2007,73820,10784
C37655,M073,D007,2019,29966,26944
C00386,M041,D045,2012,66103,12102
C39191,M002,D034,2000,176989,3483
C03376,M074,D032,1987,106439,8469
C29725,M026,D023,2004,9500,21788
C18893,M016,D033,2012,82140,17873
C30062,M022,D039,2010,100622,7026
C03864,M060,D005,1992,157812,2264
C43116,M043,D012,2005,122119,23663
C07210,M003,D038,2008,99685,10786
C03367,M058,D039,2001,122489,4879
C14442,M107,D036,2009,50308,17161
C15971,M095,D021,1991,254464,1430
C45343,M054,D039,2010,127193,12450
C06076,M002,D031,2007,92405,10843
C32811,M040,D043,2005,48453,13961
C47849,M080,D006,2005,88117,5419
C38202,M003,D035,1990,207923,1339
C32662,M014,D016,2002,127809,5274
C02096,M114,D032,1995,127386,2735
C28781,M086,D042,2003,84154,12386
C42963,M021,D033,1995,119972,2094
C31466,M006,D038,2003,132192,7664
C03759,M012,D048,1993,172576,1555
C30137,M016,D035,2006,78185,12312
C13343,M069,D042,2012,86071,46955
C37834,M072,D010,1994,161169,2087
C16919,M042,D044,2014,45674,23360
C26793,M007,D026,1998,133336,3259
C28792,M072,D035,1999,221693,1720
C46386,M041,D014,2018,32449,22246
C47795,M020,D012,2020,27551,23319
C13675,M019,D029,2001,92299,7667
C19394,M053,D040,2006,108729,10471
C16766,M092,D002,1989,263441,520
C11314,M011,D044,2015,61565,25081
C46457,M008,D017,2004,120294,11137
C22609,M018,D035,2007,84662,11916
C08921,M040,D012,1997,213998,2262
C01282,M011,D028,2004,71425,11287
C46450,M038,D012,2013,102094,35519
C33864,M028,D045,2000,127467,2687
C09065,M018,D033,2010,96815,13348
C39822,M002,D032,2000,149651,4378
C23078,M003,D018,2017,19636,32887
C24066,M002,D027,1990,204599,1406
C00915,M091,D038,2007,106403,10975
C22126,M028,D014,1999,107782,2922
C23365,M068,D032,2009,46509,17433
C31432,M015,D043,2010,94800,21072
C26750,M011,D031,1988,276710,698
C33780,M058,D021,2012,79681,13900
C41928,M026,D046,2000,141582,6843
C17472,M003,D046,1988,44818,4111
C19316,M011,D049,2019,5992,45280
C44429,M015,D026,2011,92929,22830
C32657,M108,D001,2015,31872,16191
C36918,M002,D028,2006,133344,7446
C00899,M006,D016,1994,219451,2003
C23559,M006,D002,2015,48291,30920
C46238,M015,D037,2017,32533,50459
C40171,M105,D040,2018,26076,68792
C23308,M057,D031,1988,137666,1384
C17629,M060,D036,2005,59026,11227
C17519,M015,D001,2001,141647,8083
C00972,M044,D001,2008,106701,6350
C35853,M006,D039,2004,92478,11053
C12131,M105,D048,2011,78187,31118
C11462,M006,D029,2021,9615,57542
C18695,M028,D018,2010,84141,7217
C44136,M001,D030,1986,172696,2402
C11049,M012,D036,2012,99299,9874
C18127,M069,D038,2008,112798,29592
C06527,M065,D030,2017,33394,22153
C35963,M034,D038,2017,32501,23096
C02133,M022,D049,1999,156051,2188
C32291,M106,D011,2005,123470,15355
C11225,M013,D048,2016,27834,27818
C49691,M068,D038,2009,62994,15704
C02373,M051,D044,2005,149357,5092
C19000,M006,D045,2013,48402,27042
C06485,M002,D042,1998,199983,2496
C18254,M052,D039,2005,133223,9935
C38924,M006,D040,2004,98792,10560
C08616,M046,D050,2021,9245,42856
C28323,M070,D012,2004,102948,12917
C36524,M005,D043,2014,69418,18600
C08579,M058,D023,2019,23067,31574
C42514,M101,D004,1991,133603,3426
C08021,M009,D003,2002,136497,4405
C47345,M034,D008,1998,185709,2095
C39101,M072,D010,1996,241318,1178
C38367,M015,D004,1991,114554,5130
C01013,M017,D044,2001,137020,6004
C02248,M049,D005,1992,199221,1574
C21318,M059,D024,1997,192875,3493
C44843,M006,D041,2019,9585,50367
C33284,M023,D012,2019,24378,36173
C37639,M044,D014,1998,88638,3717
C41587,M060,D010,1991,167039,1961
C49129,M053,D032,2020,24714,46315
C48363,M086,D003,2015,39720,36788
C44020,M054,D026,2006,132552,9143
C20496,M102,D020,2007,37077,21956
C05568,M106,D023,2019,16612,79455
C11833,M020,D045,2016,47557,15863
C38331,M028,D027,2015,33665,13931
C32212,M007,D049,2002,45710,7909
C25616,M052,D008,1998,153314,5297
C44932,M012,D013,2000,116563,3900
C00232,M009,D027,1990,137231,1967
C38515,M027,D027,1999,172201,1961
C41664,M103,D004,2012,78182,25766
C05978,M041,D023,2006,63144,8271
C06649,M023,D016,2018,25629,33603
C40880,M053,D033,1999,148439,4812
C37519,M072,D028,2014,33322,19877
C17610,M104,D045,2008,85898,15353
C28060,M025,D044,2001,145587,4266
C12258,M102,D034,2005,27738,20285
C23746,M030,D031,2009,83322,11650
C21357,M056,D001,2020,22559,76529
C02894,M064,D033,2006,116901,7812
C24415,M019,D042,2006,100013,10119
C14230,M013,D025,1994,292539,758
C23400,M018,D013,1988,362799,289
C02639,M001,D014,2010,66516,26761
C47262,M102,D042,2000,187989,4464
C10152,M028,D001,2009,68618,7506
C45311,M065,D015,1997,169186,2176
C14418,M013,D017,1989,253547,783
C39357,M055,D021,1991,166775,1501
C30251,M006,D040,2014,79344,23609
C28593,M064,D041,2003,155978,4686
C48389,M043,D020,2020,29716,120401
C21211,M103,D023,2012,48714,31236
C42733,M023,D027,2020,7810,42286
C10971,M014,D024,2011,58097,15824
C31538,M037,D037,2016,57845,26154
C26534,M017,D021,2013,69044,22027
C29312,M039,D032,2019,13127,44895
C36836,M089,D038,1994,130174,2687
C05932,M040,D005,2019,17200,42576
C03805,M063,D013,2017,42690,30817
C30203,M020,D021,2014,20330,16276
C33212,M064,D007,2002,92742,7155
C48170,M005,D013,2006,111446,8092
C02981,M030,D009,1994,109081,3557
C16786,M017,D006,1998,112809,5933
C25498,M007,D027,2009,92951,9207
C03738,M016,D035,1997,204469,2466
C31467,M024,D015,2015,32750,34722
C21681,M022,D019,1997,120606,2541
C47030,M074,D006,1995,210936,6090
C20993,M009,D036,2015,56196,18705
C23410,M060,D037,1987,159405,1601
C04378,M040,D028,2017,30339,34622
C24848,M093,D009,1988,126012,3055
C45656,M083,D026,1998,198206,1972
C42861,M068,D037,1985,226587,857
C43942,M032,D002,2019,32829,22195
C03096,M033,D035,1995,178186,3168
C36268,M009,D017,2014,32717,20189
C14278,M050,D019,1987,199248,1020
C11592,M022,D002,2011,83613,8482
C44476,M084,D050,1998,105691,5331
C46566,M058,D006,2008,104594,8909
C43711,M032,D033,1995,154533,1881
C38692,M006,D038,2005,80079,12891
C27025,M004,D031,2012,69521,11559
C38845,M109,D013,2006,156288,6485
C30142,M040,D039,1992,209131,1692
C08395,M014,D044,1999,121439,4537
C04606,M059,D037,1996,180540,3636
C33052,M024,D050,1998,159173,4514
C35010,M032,D002,1999,121725,3192
C16696,M088,D003,2007,149464,6110
C24588,M008,D034,2004,63232,16732
C18984,M025,D004,1995,246368,1186
C05716,M001,D003,2007,129570,13864
C34076,M041,D039,2003,59726,6923
C41052,M008,D048,2013,58588,31419
C22740,M005,D037,2006,128963,7072
C32477,M005,D037,2019,16974,35665
C42199,M063,D040,2013,50042,22562
C23866,M025,D049,2011,75993,14003
C48816,M010,D044,2001,172097,2733
C42085,M069,D036,1993,107381,11337
C01877,M028,D029,2000,153587,2179
C07790,M028,D005,2003,172944,2263
C04306,M021,D029,2005,74398,5675
